AREA,AREA_GROUP,OSS_ID,CELL_ID,CELL_NAME,NW_TYPE
Athlone,Cell Set,eniq_oss_1,1,BAA01CELL01,AXE
Athlone,Cell Set,eniq_oss_1,2,BAA01CELL02,AXE
Athlone,Cell Set,eniq_oss_1,3,BAA01CELL03,AXE
Athlone,Cell Set,eniq_oss_1,4,BAA01CELL04,AXE
Athlone,Cell Set,eniq_oss_1,5,BAA01CELL05,AXE
Athlone,Cell Set,eniq_oss_1,6,BAA01CELL06,AXE
Athlone,Cell Set,eniq_oss_1,7,BAA01CELL07,AXE
Athlone,Cell Set,eniq_oss_1,8,BAA01CELL08,AXE
Athlone,Cell Set,eniq_oss_1,9,BAA01CELL09,AXE
Athlone,Cell Set,eniq_oss_1,10,BAA01CELL10,AXE
Athlone,Cell Set,eniq_oss_1,11,BAA01CELL11,AXE
Athlone,Cell Set,eniq_oss_1,12,BAA01CELL12,AXE
Athlone,Cell Set,eniq_oss_1,13,BAA01CELL13,AXE
Athlone,Cell Set,eniq_oss_1,14,BAA01CELL14,AXE
Athlone,Cell Set,eniq_oss_1,15,BAA01CELL15,AXE
Athlone,Cell Set,eniq_oss_1,16,BAA01CELL16,AXE
Athlone,Cell Set,eniq_oss_1,17,BAA01CELL17,AXE
Athlone,Cell Set,eniq_oss_1,18,BAA01CELL18,AXE
Athlone,Cell Set,eniq_oss_1,19,BAA01CELL19,AXE
Athlone,Cell Set,eniq_oss_1,20,BAA01CELL20,AXE
Athlone,Cell Set,eniq_oss_1,21,BAA01CELL21,AXE
Athlone,Cell Set,eniq_oss_1,22,BAA01CELL22,AXE
Athlone,Cell Set,eniq_oss_1,23,BAA01CELL23,AXE
Athlone,Cell Set,eniq_oss_1,24,BAA01CELL24,AXE
Athlone,Cell Set,eniq_oss_1,25,BAA01CELL25,AXE
Athlone,Cell Set,eniq_oss_1,26,BAA01CELL26,AXE
Athlone,Cell Set,eniq_oss_1,27,BAA01CELL27,AXE
Athlone,Cell Set,eniq_oss_1,28,BAA01CELL28,AXE
Athlone,Cell Set,eniq_oss_1,29,BAA01CELL29,AXE
Athlone,Cell Set,eniq_oss_1,30,BAA01CELL30,AXE
Athlone,Cell Set,eniq_oss_1,31,BAA01CELL31,AXE
Athlone,Cell Set,eniq_oss_1,32,BAA01CELL32,AXE
Athlone,Cell Set,eniq_oss_1,33,BAA01CELL33,AXE
Athlone,Cell Set,eniq_oss_1,34,BAA01CELL34,AXE
Athlone,Cell Set,eniq_oss_1,35,BAA01CELL35,AXE
Athlone,Cell Set,eniq_oss_1,36,BAA01CELL36,AXE
Athlone,Cell Set,eniq_oss_1,37,BAA01CELL37,AXE
Athlone,Cell Set,eniq_oss_1,38,BAA01CELL38,AXE
Athlone,Cell Set,eniq_oss_1,39,BAA01CELL39,AXE
Athlone,Cell Set,eniq_oss_1,40,BAA01CELL40,AXE
Athlone,Cell Set,eniq_oss_1,41,BAA01CELL41,AXE
Athlone,Cell Set,eniq_oss_1,42,BAA01CELL42,AXE
Athlone,Cell Set,eniq_oss_1,43,BAA01CELL43,AXE
Athlone,Cell Set,eniq_oss_1,44,BAA01CELL44,AXE
Athlone,Cell Set,eniq_oss_1,45,BAA01CELL45,AXE
Athlone,Cell Set,eniq_oss_1,46,BAA01CELL46,AXE
Athlone,Cell Set,eniq_oss_1,47,BAA01CELL47,AXE
Athlone,Cell Set,eniq_oss_1,48,BAA01CELL48,AXE
Athlone,Cell Set,eniq_oss_1,49,BAA01CELL49,AXE
Athlone,Cell Set,eniq_oss_1,50,BAA01CELL50,AXE
Athlone,Cell Set,eniq_oss_1,51,BAA01CELL51,AXE
Athlone,Cell Set,eniq_oss_1,52,BAA01CELL52,AXE
Athlone,Cell Set,eniq_oss_1,53,BAA01CELL53,AXE
Athlone,Cell Set,eniq_oss_1,54,BAA01CELL54,AXE
Athlone,Cell Set,eniq_oss_1,55,BAA01CELL55,AXE
Athlone,Cell Set,eniq_oss_1,56,BAA01CELL56,AXE
Athlone,Cell Set,eniq_oss_1,57,BAA01CELL57,AXE
Athlone,Cell Set,eniq_oss_1,58,BAA01CELL58,AXE
Athlone,Cell Set,eniq_oss_1,59,BAA01CELL59,AXE
Athlone,Cell Set,eniq_oss_1,60,BAA01CELL60,AXE
Athlone,Cell Set,eniq_oss_1,61,BAA01CELL61,AXE
Athlone,Cell Set,eniq_oss_1,62,BAA01CELL62,AXE
Athlone,Cell Set,eniq_oss_1,63,BAA01CELL63,AXE
Athlone,Cell Set,eniq_oss_1,64,BAA01CELL64,AXE
Athlone,Cell Set,eniq_oss_1,65,BAA01CELL65,AXE
Athlone,Cell Set,eniq_oss_1,66,BAA01CELL66,AXE
Athlone,Cell Set,eniq_oss_1,67,BAA01CELL67,AXE
Athlone,Cell Set,eniq_oss_1,68,BAA01CELL68,AXE
